                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[   1473229.5   1331487.0][  23571672.0  21303791.9][         0.0         0.0][  23571672.0  21303791.9][   1473229.5   1331487.0][         0.0         0.0][    459004.4    522855.2][         0.0         0.0]
                            [     ratio->       0.90x][     ratio->       0.90x][     ratio->            ][     ratio->       0.90x][     ratio->       0.90x][     ratio->            ][     ratio->       1.14x][     ratio->            ]
              randread-64KiB[    635777.6    628296.0][  40689760.8  40210941.2][         0.0         0.0][  40689760.8  40210941.2][    635777.6    628296.0][         0.0         0.0][   3961144.0   2012600.8][         0.0         0.0]
                            [     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.51x][     ratio->            ]
                 write-64KiB[     16916.3         n/a][         0.0         n/a][     16916.3         n/a][   1082642.9         n/a][         0.0         n/a][   1082642.9         n/a][         0.0         n/a][  45048524.8         n/a]
                            [     ratio->     ratio->][     ratio->     ratio->][     ratio->     ratio->][     ratio->     ratio->][     ratio->     ratio->][     ratio->     ratio->][     ratio->     ratio->][     ratio->     ratio->]
                 read-256KiB[     61946.3     57462.9][  15858231.4  14710500.9][         0.0         0.0][  15858231.4  14710500.9][     61946.3     57462.9][         0.0         0.0][  64428645.0  86770667.8][         0.0         0.0]
                            [     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       1.35x][     ratio->            ]
                   read-4KiB[    466337.4    456091.1][   1865349.5   1824364.6][         0.0         0.0][   1865349.5   1824364.6][    466337.4    456091.1][         0.0         0.0][   1132934.4   1638937.6][         0.0         0.0]
                            [     ratio->       0.98x][     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->       0.98x][     ratio->            ][     ratio->       1.45x][     ratio->            ]
                  write-4KiB[    201652.9    200063.5][         0.0         0.0][    201652.9    200063.5][    806611.4    800254.2][         0.0         0.0][    806611.4    800254.2][         0.0         0.0][   2994176.0   2554304.0]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       0.85x]
               write-4096KiB[       297.6       280.1][         0.0         0.0][       297.6       280.1][   1218444.2   1147012.6][         0.0         0.0][   1218444.2   1147012.6][         0.0         0.0][1893550464.01586778931.2]
                            [     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->            ][     ratio->       0.84x]
                read-1024KiB[     12006.0     13714.8][  12294166.5  14043938.6][         0.0         0.0][  12294166.5  14043938.6][     12006.0     13714.8][         0.0         0.0][ 167255359.6 188096680.4][         0.0         0.0]
                            [     ratio->       1.14x][     ratio->       1.14x][     ratio->            ][     ratio->       1.14x][     ratio->       1.14x][     ratio->            ][     ratio->       1.12x][     ratio->            ]
             randwrite-16KiB[     67210.8     65468.7][         0.0         0.0][     67210.8     65468.7][   1075373.5   1047497.9][         0.0         0.0][   1075373.5   1047497.9][         0.0         0.0][  15399577.6   5504563.2]
                            [     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->            ][     ratio->       0.36x]
              randrw-1024KiB[      1270.9      1195.2][    649556.7    611615.9][       636.5       597.9][   1301330.4   1223847.4][       634.3       597.3][    651773.8    612231.5][ 290701312.0 355106816.0][ 447406899.2 317266329.6]
                            [     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       1.22x][     ratio->       0.71x]
                 randrw-4KiB[    240471.8    220153.3][    476967.2    436566.8][    121229.9    111011.6][    961886.4    880613.0][    119241.9    109141.7][    484919.2    444046.2][   3054720.0   2675712.0][   3037900.8   1982640.0]
                            [     ratio->       0.92x][     ratio->       0.92x][     ratio->       0.92x][     ratio->       0.92x][     ratio->       0.92x][     ratio->       0.92x][     ratio->       0.88x][     ratio->       0.65x]
                 write-16KiB[     65812.8     61739.5][         0.0         0.0][     65812.8     61739.5][   1053002.2    987831.4][         0.0         0.0][   1053002.2    987831.4][         0.0         0.0][  14082073.6   6105369.6]
                            [     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->            ][     ratio->       0.43x]
                randrw-16KiB[     71534.3     68769.2][    574904.8    557746.3][     35602.8     33910.0][   1144550.0   1100307.9][     35931.5     34859.2][    569645.2    542561.6][  14559283.2   6239705.6][  15778636.8   5731494.4]
                            [     ratio->       0.96x][     ratio->       0.97x][     ratio->       0.95x][     ratio->       0.96x][     ratio->       0.97x][     ratio->       0.95x][     ratio->       0.43x][     ratio->       0.36x]
              randwrite-4KiB[    254782.9    234708.6][         0.0         0.0][    254782.9    234708.6][   1019131.4    938834.5][         0.0         0.0][   1019131.4    938834.5][         0.0         0.0][   2170096.0   2118118.4]
                            [     ratio->       0.92x][     ratio->            ][     ratio->       0.92x][     ratio->       0.92x][     ratio->            ][     ratio->       0.92x][     ratio->            ][     ratio->       0.98x]
                  read-64KiB[         n/a    103022.7][         n/a   6593454.7][         n/a         0.0][         n/a   6593454.7][         n/a    103022.7][         n/a         0.0][         n/a  19815067.6][         n/a         0.0]
