                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[   1451393.8   1349328.3][  23222302.1  21589253.2][         0.0         0.0][  23222302.1  21589253.2][   1451393.8   1349328.3][         0.0         0.0][    432226.4    506147.6][         0.0         0.0]
                            [     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       1.17x][     ratio->            ]
              randread-64KiB[    572260.8    701391.3][  36624691.4  44889044.2][         0.0         0.0][  36624691.4  44889044.2][    572260.8    701391.3][         0.0         0.0][   3757268.4   1792030.8][         0.0         0.0]
                            [     ratio->       1.23x][     ratio->       1.23x][     ratio->            ][     ratio->       1.23x][     ratio->       1.23x][     ratio->            ][     ratio->       0.48x][     ratio->            ]
                 write-64KiB[     16045.8     13631.0][         0.0         0.0][     16045.8     13631.0][   1026932.4    872382.1][         0.0         0.0][   1026932.4    872382.1][         0.0         0.0][  48665190.4  16231526.4]
                            [     ratio->       0.85x][     ratio->            ][     ratio->       0.85x][     ratio->       0.85x][     ratio->            ][     ratio->       0.85x][     ratio->            ][     ratio->       0.33x]
                 read-256KiB[     42313.0     70906.9][  10832129.7  18152158.2][         0.0         0.0][  10832129.7  18152158.2][     42313.0     70906.9][         0.0         0.0][  86782769.4  85285268.6][         0.0         0.0]
                            [     ratio->       1.68x][     ratio->       1.68x][     ratio->            ][     ratio->       1.68x][     ratio->       1.68x][     ratio->            ][     ratio->       0.98x][     ratio->            ]
                   read-4KiB[    452124.5    528515.3][   1808497.8   2114061.2][         0.0         0.0][   1808497.8   2114061.2][    452124.5    528515.3][         0.0         0.0][   1155086.4   1428204.8][         0.0         0.0]
                            [     ratio->       1.17x][     ratio->       1.17x][     ratio->            ][     ratio->       1.17x][     ratio->       1.17x][     ratio->            ][     ratio->       1.24x][     ratio->            ]
                  write-4KiB[    205837.1    205783.7][         0.0         0.0][    205837.1    205783.7][    823348.4    823134.7][         0.0         0.0][    823348.4    823134.7][         0.0         0.0][   3137945.6   2523123.2]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       0.80x]
               write-4096KiB[       297.1       279.4][         0.0         0.0][       297.1       279.4][   1216745.7   1144432.3][         0.0         0.0][   1216745.7   1144432.3][         0.0         0.0][1957214617.61635850649.6]
                            [     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->            ][     ratio->       0.84x]
                read-1024KiB[      8439.0     17701.7][   8641522.7  18126509.8][         0.0         0.0][   8641522.7  18126509.8][      8439.0     17701.7][         0.0         0.0][ 209129040.4 167931121.6][         0.0         0.0]
                            [     ratio->       2.10x][     ratio->       2.10x][     ratio->            ][     ratio->       2.10x][     ratio->       2.10x][     ratio->            ][     ratio->       0.80x][     ratio->            ]
             randwrite-16KiB[     62752.5     61911.0][         0.0         0.0][     62752.5     61911.0][   1004040.9    990575.3][         0.0         0.0][   1004040.9    990575.3][         0.0         0.0][  15725286.4   5660505.6]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       0.36x]
              randrw-1024KiB[      1298.9      1225.4][    657675.0    626395.7][       656.6       613.7][   1330051.5   1254832.8][       642.2       611.7][    672376.5    628437.1][ 317735731.2 338634342.4][ 459526963.2 301623296.0]
                            [     ratio->       0.94x][     ratio->       0.95x][     ratio->       0.93x][     ratio->       0.94x][     ratio->       0.95x][     ratio->       0.93x][     ratio->       1.07x][     ratio->       0.66x]
                 randrw-4KiB[    248493.6    222558.0][    493252.4    441256.2][    125180.5    112243.9][    993974.7    890231.7][    123313.1    110314.1][    500722.3    448975.5][   2729958.4   2645753.6][   2683251.2   1955696.0]
                            [     ratio->       0.90x][     ratio->       0.89x][     ratio->       0.90x][     ratio->       0.90x][     ratio->       0.89x][     ratio->       0.90x][     ratio->       0.97x][     ratio->       0.73x]
