                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[    143712.8    143443.5][   2299405.4   2295097.5][         0.0         0.0][   2299405.4   2295097.5][    143712.8    143443.5][         0.0         0.0][   7998438.4   5756672.0][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       0.72x][     ratio->            ]
              randread-64KiB[     27776.8     30334.0][   1777717.3   1941378.2][         0.0         0.0][   1777717.3   1941378.2][     27776.8     30334.0][         0.0         0.0][  20949555.2  18773094.4][         0.0         0.0]
                            [     ratio->       1.09x][     ratio->       1.09x][     ratio->            ][     ratio->       1.09x][     ratio->       1.09x][     ratio->            ][     ratio->       0.90x][     ratio->            ]
                 write-64KiB[     15358.3     13235.6][         0.0         0.0][     15358.3     13235.6][    982934.7    847083.6][         0.0         0.0][    982934.7    847083.6][         0.0         0.0][  56516505.6  21400166.4]
                            [     ratio->       0.86x][     ratio->            ][     ratio->       0.86x][     ratio->       0.86x][     ratio->            ][     ratio->       0.86x][     ratio->            ][     ratio->       0.38x]
                 read-256KiB[      9045.4      9030.0][   2315616.7   2311667.5][         0.0         0.0][   2315616.7   2311667.5][      9045.4      9030.0][         0.0         0.0][ 100804608.0 103413760.0][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.03x][     ratio->            ]
                   read-4KiB[    437451.8    443081.3][   1749807.1   1772325.4][         0.0         0.0][   1749807.1   1772325.4][    437451.8    443081.3][         0.0         0.0][   1206643.2   1569043.2][         0.0         0.0]
                            [     ratio->       1.01x][     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->       1.01x][     ratio->            ][     ratio->       1.30x][     ratio->            ]
                  write-4KiB[    199748.1    201319.1][         0.0         0.0][    199748.1    201319.1][    798992.5    805276.4][         0.0         0.0][    798992.5    805276.4][         0.0         0.0][   3979635.2   2486540.8]
                            [     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->            ][     ratio->       0.62x]
               write-4096KiB[       279.3       272.8][         0.0         0.0][       279.3       272.8][   1143692.6   1117408.4][         0.0         0.0][   1143692.6   1117408.4][         0.0         0.0][1944594892.81635133030.4]
                            [     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->            ][     ratio->       0.84x]
                read-1024KiB[      2249.8      2358.6][   2303809.2   2415179.9][         0.0         0.0][   2303809.2   2415179.9][      2249.8      2358.6][         0.0         0.0][ 186721075.2 185453772.8][         0.0         0.0]
                            [     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       0.99x][     ratio->            ]
             randwrite-16KiB[     59216.9     59156.6][         0.0         0.0][     59216.9     59156.6][    947469.0    946503.2][         0.0         0.0][    947469.0    946503.2][         0.0         0.0][  17459814.4   6273779.2]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       0.36x]
              randrw-1024KiB[      1108.3      1215.9][    570735.0    621245.4][       551.0       609.2][   1135009.4   1245092.3][       557.3       606.6][    564274.4    623846.9][ 440098816.0 326084608.0][ 486780108.8 337001267.2]
