                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[       913.4       887.4][     14614.7     14199.0][         0.0         0.0][     14614.7     14199.0][       913.4       887.4][         0.0         0.0][   4299571.2   4323328.0][         0.0         0.0]
                            [     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       1.01x][     ratio->            ]
              randread-64KiB[       779.7       754.1][     49901.3     48261.3][         0.0         0.0][     49901.3     48261.3][       779.7       754.1][         0.0         0.0][   5108940.8   5232640.0][         0.0         0.0]
                            [     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       1.02x][     ratio->            ]
                 write-64KiB[     30613.3     11974.1][         0.0         0.0][     30613.3     11974.1][   1959249.2    766340.4][         0.0         0.0][   1959249.2    766340.4][         0.0         0.0][     56809.6    115776.0]
                            [     ratio->       0.39x][     ratio->            ][     ratio->       0.39x][     ratio->       0.39x][     ratio->            ][     ratio->       0.39x][     ratio->            ][     ratio->       2.04x]
                 read-256KiB[      2631.9       856.0][    673765.0    219151.8][         0.0         0.0][    673765.0    219151.8][      2631.9       856.0][         0.0         0.0][    647945.6   6029721.6][         0.0         0.0]
                            [     ratio->       0.33x][     ratio->       0.33x][     ratio->            ][     ratio->       0.33x][     ratio->       0.33x][     ratio->            ][     ratio->       9.31x][     ratio->            ]
                   read-4KiB[     88154.2     54866.8][    352616.9    219467.3][         0.0         0.0][    352616.9    219467.3][     88154.2     54866.8][         0.0         0.0][     23401.6     29622.4][         0.0         0.0]
                            [     ratio->       0.62x][     ratio->       0.62x][     ratio->            ][     ratio->       0.62x][     ratio->       0.62x][     ratio->            ][     ratio->       1.27x][     ratio->            ]
                  write-4KiB[     59209.2     21952.8][         0.0         0.0][     59209.2     21952.8][    236836.8     87811.3][         0.0         0.0][    236836.8     87811.3][         0.0         0.0][     20998.4     56694.4]
                            [     ratio->       0.37x][     ratio->            ][     ratio->       0.37x][     ratio->       0.37x][     ratio->            ][     ratio->       0.37x][     ratio->            ][     ratio->       2.70x]
               write-4096KiB[       552.5       332.4][         0.0         0.0][       552.5       332.4][   2262938.8   1361537.9][         0.0         0.0][   2262938.8   1361537.9][         0.0         0.0][   4918579.2   6730342.4]
                            [     ratio->       0.60x][     ratio->            ][     ratio->       0.60x][     ratio->       0.60x][     ratio->            ][     ratio->       0.60x][     ratio->            ][     ratio->       1.37x]
                read-1024KiB[       578.7       263.4][    592621.2    269772.7][         0.0         0.0][    592621.2    269772.7][       578.7       263.4][         0.0         0.0][  10232217.6  15236710.4][         0.0         0.0]
                            [     ratio->       0.46x][     ratio->       0.46x][     ratio->            ][     ratio->       0.46x][     ratio->       0.46x][     ratio->            ][     ratio->       1.49x][     ratio->            ]
             randwrite-16KiB[      1004.6      1005.9][         0.0         0.0][      1004.6      1005.9][     16074.0     16095.0][         0.0         0.0][     16074.0     16095.0][         0.0         0.0][   1352806.4   1408000.0]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       1.04x]
              randrw-1024KiB[        84.8        80.9][     42494.0     40608.4][        43.3        41.2][     86789.8     82811.3][        41.5        39.7][     44295.8     42202.9][  52872806.4  55081369.6][  20883046.4  15587737.6]
                            [     ratio->       0.95x][     ratio->       0.96x][     ratio->       0.95x][     ratio->       0.95x][     ratio->       0.96x][     ratio->       0.95x][     ratio->       1.04x][     ratio->       0.75x]
                 randrw-4KiB[       811.8       790.5][      1721.4      1667.8][       381.5       373.5][      3247.3      3161.8][       430.3       416.9][      1526.0      1494.0][   7284531.2   7503667.2][      3949.4      4045.4]
                            [     ratio->       0.97x][     ratio->       0.97x][     ratio->       0.98x][     ratio->       0.97x][     ratio->       0.97x][     ratio->       0.98x][     ratio->       1.03x][     ratio->       1.02x]
                 write-16KiB[     54950.7     19321.1][         0.0         0.0][     54950.7     19321.1][    879210.7    309138.1][         0.0         0.0][    879210.7    309138.1][         0.0         0.0][     24268.8     76400.0]
                            [     ratio->       0.35x][     ratio->            ][     ratio->       0.35x][     ratio->       0.35x][     ratio->            ][     ratio->       0.35x][     ratio->            ][     ratio->       3.15x]
                randrw-16KiB[       808.4       777.3][      6842.0      6588.5][       380.8       365.6][     12934.9     12437.3][       427.6       411.8][      6092.9      5848.8][   7322214.4   7817216.0][      4264.0      4379.6]
