                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[       911.4      1346.7][     14581.8     21546.5][         0.0         0.0][     14581.8     21546.5][       911.4      1346.7][         0.0         0.0][   4211609.6   3410841.6][         0.0         0.0]
                            [     ratio->       1.48x][     ratio->       1.48x][     ratio->            ][     ratio->       1.48x][     ratio->       1.48x][     ratio->            ][     ratio->       0.81x][     ratio->            ]
               read-16384KiB[        35.8        13.7][    586415.8    224965.9][         0.0         0.0][    586415.8    224965.9][        35.8        13.7][         0.0         0.0][  86173286.4 101957632.0][         0.0         0.0]
                            [     ratio->       0.38x][     ratio->       0.38x][     ratio->            ][     ratio->       0.38x][     ratio->       0.38x][     ratio->            ][     ratio->       1.18x][     ratio->            ]
              randread-64KiB[       765.5      1131.4][     48991.7     72410.7][         0.0         0.0][     48991.7     72410.7][       765.5      1131.4][         0.0         0.0][   5085184.0   4126412.8][         0.0         0.0]
                            [     ratio->       1.48x][     ratio->       1.48x][     ratio->            ][     ratio->       1.48x][     ratio->       1.48x][     ratio->            ][     ratio->       0.81x][     ratio->            ]
           randread-16384KiB[        14.0        17.4][    228799.1    285214.2][         0.0         0.0][    228799.1    285214.2][        14.0        17.4][         0.0         0.0][ 125580083.2  97399603.2][         0.0         0.0]
                            [     ratio->       1.24x][     ratio->       1.25x][     ratio->            ][     ratio->       1.25x][     ratio->       1.24x][     ratio->            ][     ratio->       0.78x][     ratio->            ]
                  write-4KiB[     59715.2     21142.1][         0.0         0.0][     59715.2     21142.1][    238860.8     84568.4][         0.0         0.0][    238860.8     84568.4][         0.0         0.0][     21016.0     50584.0]
                            [     ratio->       0.35x][     ratio->            ][     ratio->       0.35x][     ratio->       0.35x][     ratio->            ][     ratio->       0.35x][     ratio->            ][     ratio->       2.41x]
               write-4096KiB[       653.6       525.6][         0.0         0.0][       653.6       525.6][   2677161.8   2152669.8][         0.0         0.0][   2677161.8   2152669.8][         0.0         0.0][   4060672.0   3374080.0]
                            [     ratio->       0.80x][     ratio->            ][     ratio->       0.80x][     ratio->       0.80x][     ratio->            ][     ratio->       0.80x][     ratio->            ][     ratio->       0.83x]
             randrw-16384KiB[        10.2         6.2][     69023.9     45985.0][         6.0         3.4][    166944.8    102174.2][         4.2         2.8][     97920.9     56189.2][ 169323724.8 251245363.2][ 187837644.8 227894886.4]
                            [     ratio->       0.61x][     ratio->       0.67x][     ratio->       0.57x][     ratio->       0.61x][     ratio->       0.67x][     ratio->       0.57x][     ratio->       1.48x][     ratio->       1.21x]
                randrw-16KiB[       792.1       801.6][      6737.4      6843.9][       371.0       373.9][     12673.4     12826.2][       421.1       427.7][      5936.0      5982.3][   7367884.8   7267737.6][      4314.6      4392.2]
                            [     ratio->       1.01x][     ratio->       1.02x][     ratio->       1.01x][     ratio->       1.01x][     ratio->       1.02x][     ratio->       1.01x][     ratio->       0.99x][     ratio->       1.02x]
              randwrite-4KiB[      1023.4      1121.1][         0.0         0.0][      1023.4      1121.1][      4093.6      4484.5][         0.0         0.0][      4093.6      4484.5][         0.0         0.0][   1446604.8   1573683.2]
                            [     ratio->       1.10x][     ratio->            ][     ratio->       1.10x][     ratio->       1.10x][     ratio->            ][     ratio->       1.10x][     ratio->            ][     ratio->       1.09x]
                  read-64KiB[      8804.8      5570.3][    563506.1    356500.0][         0.0         0.0][    563506.1    356500.0][      8804.8      5570.3][         0.0         0.0][    239436.8    340480.0][         0.0         0.0]
                            [     ratio->       0.63x][     ratio->       0.63x][     ratio->            ][     ratio->       0.63x][     ratio->       0.63x][     ratio->            ][     ratio->       1.42x][     ratio->            ]
