                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
               read-16384KiB[        35.3        25.0][    578445.7    409655.7][         0.0         0.0][    578445.7    409655.7][        35.3        25.0][         0.0         0.0][  90839449.6  97511014.4][         0.0         0.0]
                            [     ratio->       0.71x][     ratio->       0.71x][     ratio->            ][     ratio->       0.71x][     ratio->       0.71x][     ratio->            ][     ratio->       1.07x][     ratio->            ]
              randread-16KiB[       751.3       751.8][     12021.2     12029.4][         0.0         0.0][     12021.2     12029.4][       751.3       751.8][         0.0         0.0][   4602265.6   4567244.8][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       0.99x][     ratio->            ]
              randread-64KiB[       616.1       616.3][     39428.0     39440.4][         0.0         0.0][     39428.0     39440.4][       616.1       616.3][         0.0         0.0][   5670092.8   5701632.0][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.01x][     ratio->            ]
           randread-16384KiB[        10.9         9.8][    179277.5    160405.2][         0.0         0.0][    179277.5    160405.2][        10.9         9.8][         0.0         0.0][ 159249203.2 148314521.6][         0.0         0.0]
                            [     ratio->       0.90x][     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->       0.90x][     ratio->            ][     ratio->       0.93x][     ratio->            ]
                  write-4KiB[     98065.1     22031.0][         0.0         0.0][     98065.1     22031.0][    392260.5     88123.8][         0.0         0.0][    392260.5     88123.8][         0.0         0.0][     13984.8     79808.0]
                            [     ratio->       0.22x][     ratio->            ][     ratio->       0.22x][     ratio->       0.22x][     ratio->            ][     ratio->       0.22x][     ratio->            ][     ratio->       5.71x]
               write-4096KiB[       623.6       518.3][         0.0         0.0][       623.6       518.3][   2554123.9   2122990.4][         0.0         0.0][   2554123.9   2122990.4][         0.0         0.0][   5164236.8   3406028.8]
                            [     ratio->       0.83x][     ratio->            ][     ratio->       0.83x][     ratio->       0.83x][     ratio->            ][     ratio->       0.83x][     ratio->            ][     ratio->       0.66x]
