                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
               read-16384KiB[        36.3        25.5][    595148.6    417671.8][         0.0         0.0][    595148.6    417671.8][        36.3        25.5][         0.0         0.0][  83525632.0  86553395.2][         0.0         0.0]
                            [     ratio->       0.70x][     ratio->       0.70x][     ratio->            ][     ratio->       0.70x][     ratio->       0.70x][     ratio->            ][     ratio->       1.04x][     ratio->            ]
              randread-16KiB[       708.6       676.8][     11338.0     10828.5][         0.0         0.0][     11338.0     10828.5][       708.6       676.8][         0.0         0.0][   4746444.8   4852224.0][         0.0         0.0]
                            [     ratio->       0.96x][     ratio->       0.96x][     ratio->            ][     ratio->       0.96x][     ratio->       0.96x][     ratio->            ][     ratio->       1.02x][     ratio->            ]
              randread-64KiB[       601.5       574.4][     38498.4     36760.3][         0.0         0.0][     38498.4     36760.3][       601.5       574.4][         0.0         0.0][   5711052.8   5776179.2][         0.0         0.0]
                            [     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       1.01x][     ratio->            ]
           randread-16384KiB[        11.7        10.4][    191145.6    170825.3][         0.0         0.0][    191145.6    170825.3][        11.7        10.4][         0.0         0.0][ 149019033.6 137320857.6][         0.0         0.0]
                            [     ratio->       0.89x][     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->       0.89x][     ratio->            ][     ratio->       0.92x][     ratio->            ]
                  write-4KiB[    102977.7    100303.8][         0.0         0.0][    102977.7    100303.8][    411910.8    401215.2][         0.0         0.0][    411910.8    401215.2][         0.0         0.0][     13120.8     13291.2]
                            [     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->            ][     ratio->       1.01x]
               write-4096KiB[       708.1       764.5][         0.0         0.0][       708.1       764.5][   2900476.5   3131482.4][         0.0         0.0][   2900476.5   3131482.4][         0.0         0.0][   3505971.2   2606694.4]
                            [     ratio->       1.08x][     ratio->            ][     ratio->       1.08x][     ratio->       1.08x][     ratio->            ][     ratio->       1.08x][     ratio->            ][     ratio->       0.74x]
             randrw-16384KiB[        11.4        10.6][     64255.0     63166.5][         7.4         6.8][    185958.5    173915.8][         3.9         3.9][    121703.5    110749.2][ 107701862.4 106092953.6][ 149336883.2 140102860.8]
                            [     ratio->       0.93x][     ratio->       0.98x][     ratio->       0.92x][     ratio->       0.94x][     ratio->       1.00x][     ratio->       0.91x][     ratio->       0.99x][     ratio->       0.94x]
                randrw-16KiB[       790.6       768.4][      6652.4      6458.1][       374.9       364.8][     12650.0     12294.5][       415.8       403.6][      5997.6      5836.5][   7446118.4   7974707.2][      4060.6      4020.2]
                            [     ratio->       0.97x][     ratio->       0.97x][     ratio->       0.97x][     ratio->       0.97x][     ratio->       0.97x][     ratio->       0.97x][     ratio->       1.07x][     ratio->       0.99x]
              randwrite-4KiB[       941.1       934.4][         0.0         0.0][       941.1       934.4][      3764.5      3737.6][         0.0         0.0][      3764.5      3737.6][         0.0         0.0][   1403699.2   1407897.6]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       1.00x]
                  read-64KiB[     10042.0      6387.7][    642685.2    408812.8][         0.0         0.0][    642685.2    408812.8][     10042.0      6387.7][         0.0         0.0][    297126.4    326425.6][         0.0         0.0]
                            [     ratio->       0.64x][     ratio->       0.64x][     ratio->            ][     ratio->       0.64x][     ratio->       0.64x][     ratio->            ][     ratio->       1.10x][     ratio->            ]
              randrw-4096KiB[        35.8        33.6][     81719.3     76531.1][        15.9        14.9][    146661.9    137495.6][        19.9        18.7][     64942.6     60964.4][  50538086.4  47772467.2][  67508633.6  56713216.0]
                            [     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.94x][     ratio->       0.95x][     ratio->       0.84x]
                randrw-64KiB[       708.5       692.6][     23982.9     23472.0][       333.8       325.9][     45346.1     44329.3][       374.7       366.8][     21363.2     20857.3][   8775475.2   9260441.6][      4785.2      4910.0]
                            [     ratio->       0.98x][     ratio->       0.98x][     ratio->       0.98x][     ratio->       0.98x][     ratio->       0.98x][     ratio->       0.98x][     ratio->       1.06x][     ratio->       1.03x]
           randwrite-1024KiB[       103.3       103.4][         0.0         0.0][       103.3       103.4][    105814.0    105833.4][         0.0         0.0][    105814.0    105833.4][         0.0         0.0][  10675814.4  10700390.4]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x]
              write-16384KiB[        98.3       150.2][         0.0         0.0][        98.3       150.2][   1610542.6   2460833.8][         0.0         0.0][   1610542.6   2460833.8][         0.0         0.0][  31281971.2  18169036.8]
                            [     ratio->       1.53x][     ratio->            ][     ratio->       1.53x][     ratio->       1.53x][     ratio->            ][     ratio->       1.53x][     ratio->            ][     ratio->       0.58x]
               randrw-256KiB[       345.0       328.1][     48235.8     45966.8][       156.6       148.5][     88328.9     83981.4][       188.4       179.6][     40093.1     38014.6][   9800704.0  10742988.8][   3321651.2   3057049.6]
                            [     ratio->       0.95x][     ratio->       0.95x][     ratio->       0.95x][     ratio->       0.95x][     ratio->       0.95x][     ratio->       0.95x][     ratio->       1.10x][     ratio->       0.92x]
          randwrite-16384KiB[        10.6        10.6][         0.0         0.0][        10.6        10.6][    173261.5    174309.1][         0.0         0.0][    173261.5    174309.1][         0.0         0.0][ 134830489.6 125760307.2]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->            ][     ratio->       0.93x]
                write-256KiB[     13297.2     13291.9][         0.0         0.0][     13297.2     13291.9][   3404069.2   3402734.9][         0.0         0.0][   3404069.2   3402734.9][         0.0         0.0][     78528.0     77331.2]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       0.98x]
            randread-1024KiB[       141.6       140.0][    144982.5    143358.4][         0.0         0.0][    144982.5    143358.4][       141.6       140.0][         0.0         0.0][  15953510.4  15571763.2][         0.0         0.0]
                            [     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.98x][     ratio->            ]
             randwrite-64KiB[       859.1       843.5][         0.0         0.0][       859.1       843.5][     54980.2     53982.1][         0.0         0.0][     54980.2     53982.1][         0.0         0.0][   1464934.4   1499136.0]
                            [     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->            ][     ratio->       1.02x]
               randread-4KiB[       752.7       710.1][      3010.8      2840.4][         0.0         0.0][      3010.8      2840.4][       752.7       710.1][         0.0         0.0][   4429619.2   4546867.2][         0.0         0.0]
                            [     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       1.03x][     ratio->            ]
                 write-64KiB[     50269.9     52533.6][         0.0         0.0][     50269.9     52533.6][   3217272.9   3362150.8][         0.0         0.0][   3217272.9   3362150.8][         0.0         0.0][     26803.2     21726.4]
