                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
               read-16384KiB[        18.7        19.6][    306183.6    321654.1][         0.0         0.0][    306183.6    321654.1][        18.7        19.6][         0.0         0.0][  11291648.0  14418124.8][         0.0         0.0]
                            [     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       1.28x][     ratio->            ]
              randread-16KiB[     84107.2     88540.8][   1345715.1   1416653.7][         0.0         0.0][   1345715.1   1416653.7][     84107.2     88540.8][         0.0         0.0][     17915.2     16456.8][         0.0         0.0]
                            [     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       0.92x][     ratio->            ]
              randread-64KiB[     31186.6     32796.4][   1995943.2   2098970.4][         0.0         0.0][   1995943.2   2098970.4][     31186.6     32796.4][         0.0         0.0][     52868.8     54816.0][         0.0         0.0]
                            [     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       1.04x][     ratio->            ]
           randread-16384KiB[        19.1        18.8][    313019.8    308552.3][         0.0         0.0][    313019.8    308552.3][        19.1        18.8][         0.0         0.0][  10235904.0  13912064.0][         0.0         0.0]
                            [     ratio->       0.98x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.98x][     ratio->            ][     ratio->       1.36x][     ratio->            ]
                  write-4KiB[     70371.5    113788.4][         0.0         0.0][     70371.5    113788.4][    281485.9    455153.6][         0.0         0.0][    281485.9    455153.6][         0.0         0.0][     27654.4      9839.6]
                            [     ratio->       1.62x][     ratio->            ][     ratio->       1.62x][     ratio->       1.62x][     ratio->            ][     ratio->       1.62x][     ratio->            ][     ratio->       0.36x]
               write-4096KiB[       233.4       232.2][         0.0         0.0][       233.4       232.2][    955997.7    950862.9][         0.0         0.0][    955997.7    950862.9][         0.0         0.0][   3313459.2   3996467.2]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       1.21x]
             randrw-16384KiB[        24.5        20.0][    189641.8    133138.7][        12.9        11.8][    401794.3    327498.7][        11.6         8.1][    212152.5    194360.0][   9842688.0  13474201.6][   8544153.6  13576601.6]
                            [     ratio->       0.82x][     ratio->       0.70x][     ratio->       0.91x][     ratio->       0.82x][     ratio->       0.70x][     ratio->       0.92x][     ratio->       1.37x][     ratio->       1.59x]
                randrw-16KiB[     51459.2     64578.8][    411881.2    517025.4][     25716.6     32264.7][    823346.6   1033261.0][     25742.6     32314.1][    411465.3    516235.7][     69100.8     83814.4][      6731.6      6777.6]
                            [     ratio->       1.25x][     ratio->       1.26x][     ratio->       1.25x][     ratio->       1.25x][     ratio->       1.26x][     ratio->       1.25x][     ratio->       1.21x][     ratio->       1.01x]
              randwrite-4KiB[    143557.0    153848.7][         0.0         0.0][    143557.0    153848.7][    574228.0    615394.9][         0.0         0.0][    574228.0    615394.9][         0.0         0.0][      9760.0     11065.6]
                            [     ratio->       1.07x][     ratio->            ][     ratio->       1.07x][     ratio->       1.07x][     ratio->            ][     ratio->       1.07x][     ratio->            ][     ratio->       1.13x]
                  read-64KiB[     28353.0     31719.3][   1814595.1   2030035.5][         0.0         0.0][   1814595.1   2030035.5][     28353.0     31719.3][         0.0         0.0][     41116.8     48491.2][         0.0         0.0]
                            [     ratio->       1.12x][     ratio->       1.12x][     ratio->            ][     ratio->       1.12x][     ratio->       1.12x][     ratio->            ][     ratio->       1.18x][     ratio->            ]
              randrw-4096KiB[        98.5        94.2][    197318.2    187145.0][        50.3        48.5][    403325.8    385854.4][        48.2        45.7][    206007.6    198709.5][   9379020.8  10289971.2][   8798822.4   9713868.8]
                            [     ratio->       0.96x][     ratio->       0.95x][     ratio->       0.96x][     ratio->       0.96x][     ratio->       0.95x][     ratio->       0.96x][     ratio->       1.10x][     ratio->       1.10x]
                randrw-64KiB[     17623.9     18691.4][    562102.8    596088.8][      8841.0      9377.5][   1127928.4   1196248.8][      8782.9      9313.9][    565825.6    600160.1][     88099.2     92604.8][    103081.6    110995.2]
                            [     ratio->       1.06x][     ratio->       1.06x][     ratio->       1.06x][     ratio->       1.06x][     ratio->       1.06x][     ratio->       1.06x][     ratio->       1.05x][     ratio->       1.08x]
           randwrite-1024KiB[      1072.3      1066.5][         0.0         0.0][      1072.3      1066.5][   1098033.6   1092108.5][         0.0         0.0][   1098033.6   1092108.5][         0.0         0.0][   1116902.4   1099520.0]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       0.98x]
              write-16384KiB[        53.8        53.2][         0.0         0.0][        53.8        53.2][    881189.5    871965.9][         0.0         0.0][    881189.5    871965.9][         0.0         0.0][   3695104.0   4200140.8]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       1.14x]
               randrw-256KiB[      5391.0      5483.5][    692668.1    704297.8][      2685.3      2732.4][   1380104.1   1403791.8][      2705.7      2751.1][    687436.0    699493.9][    146841.6    145420.8][    411878.4    391961.6]
