                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
               read-16384KiB[       135.2       153.4][   2232908.2   2530535.0][         0.0         0.0][   2232908.2   2530535.0][       135.2       153.4][         0.0         0.0][    244326.4    209920.0][         0.0         0.0]
                            [     ratio->       1.13x][     ratio->       1.13x][     ratio->            ][     ratio->       1.13x][     ratio->       1.13x][     ratio->            ][     ratio->       0.86x][     ratio->            ]
              randread-16KiB[     79788.0     93097.0][   1276624.6   1489569.0][         0.0         0.0][   1276624.6   1489569.0][     79788.0     93097.0][         0.0         0.0][       584.8       535.2][         0.0         0.0]
                            [     ratio->       1.17x][     ratio->       1.17x][     ratio->            ][     ratio->       1.17x][     ratio->       1.17x][     ratio->            ][     ratio->       0.92x][     ratio->            ]
              randread-64KiB[     33115.6     33493.9][   2119461.4   2143678.1][         0.0         0.0][   2119461.4   2143678.1][     33115.6     33493.9][         0.0         0.0][      1736.0      1745.6][         0.0         0.0]
                            [     ratio->       1.01x][     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->            ]
           randread-16384KiB[       141.2       151.6][   2329998.7   2500891.2][         0.0         0.0][   2329998.7   2500891.2][       141.2       151.6][         0.0         0.0][    227532.8    212377.6][         0.0         0.0]
                            [     ratio->       1.07x][     ratio->       1.07x][     ratio->            ][     ratio->       1.07x][     ratio->       1.07x][     ratio->            ][     ratio->       0.93x][     ratio->            ]
                  write-4KiB[    160366.5     91014.0][         0.0         0.0][    160366.5     91014.0][    641470.0    364060.1][         0.0         0.0][    641470.0    364060.1][         0.0         0.0][       234.6       616.8]
                            [     ratio->       0.57x][     ratio->            ][     ratio->       0.57x][     ratio->       0.57x][     ratio->            ][     ratio->       0.57x][     ratio->            ][     ratio->       2.63x]
               write-4096KiB[       256.6       253.1][         0.0         0.0][       256.6       253.1][   1055130.5   1040948.4][         0.0         0.0][   1055130.5   1040948.4][         0.0         0.0][    139468.8    138649.6]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x]
             randrw-16384KiB[        91.5        87.8][    850167.8    819506.3][        40.2        38.3][   1515991.2   1454500.4][        51.3        49.4][    665823.4    634994.1][    346112.0    396083.2][    413286.4    400998.4]
                            [     ratio->       0.96x][     ratio->       0.96x][     ratio->       0.95x][     ratio->       0.96x][     ratio->       0.96x][     ratio->       0.95x][     ratio->       1.14x][     ratio->       0.97x]
                randrw-16KiB[     50531.4     47241.3][    404534.4    378280.3][     25249.0     23599.7][    808518.8    755877.2][     25282.4     23641.6][    403984.5    377596.9][      2684.8      2748.8][       264.8       532.0]
                            [     ratio->       0.93x][     ratio->       0.94x][     ratio->       0.93x][     ratio->       0.93x][     ratio->       0.94x][     ratio->       0.93x][     ratio->       1.02x][     ratio->       2.01x]
              randwrite-4KiB[    135793.0     59399.0][         0.0         0.0][    135793.0     59399.0][    543176.0    237600.3][         0.0         0.0][    543176.0    237600.3][         0.0         0.0][       322.8       796.0]
                            [     ratio->       0.44x][     ratio->            ][     ratio->       0.44x][     ratio->       0.44x][     ratio->            ][     ratio->       0.44x][     ratio->            ][     ratio->       2.47x]
                  read-64KiB[     27130.7     39803.6][   1736427.6   2547495.1][         0.0         0.0][   1736427.6   2547495.1][     27130.7     39803.6][         0.0         0.0][      1745.6      1008.0][         0.0         0.0]
                            [     ratio->       1.47x][     ratio->       1.47x][     ratio->            ][     ratio->       1.47x][     ratio->       1.47x][     ratio->            ][     ratio->       0.58x][     ratio->            ]
              randrw-4096KiB[       351.7       338.5][    770215.9    741199.4][       164.0       158.1][   1444782.0   1390727.2][       187.7       180.4][    674566.2    649527.9][     87142.4    106188.8][    139468.8    105984.0]
                            [     ratio->       0.96x][     ratio->       0.96x][     ratio->       0.96x][     ratio->       0.96x][     ratio->       0.96x][     ratio->       0.96x][     ratio->       1.22x][     ratio->       0.76x]
                randrw-64KiB[     20062.0     17281.2][    642799.8    553608.2][     10019.0      8631.8][   1284036.7   1106060.5][     10043.0      8649.4][    641236.8    552452.3][      3542.4      4384.0][      3056.0      2236.8]
                            [     ratio->       0.86x][     ratio->       0.86x][     ratio->       0.86x][     ratio->       0.86x][     ratio->       0.86x][     ratio->       0.86x][     ratio->       1.24x][     ratio->       0.73x]
           randwrite-1024KiB[      1077.2       989.8][         0.0         0.0][      1077.2       989.8][   1104118.2   1014580.2][         0.0         0.0][   1104118.2   1014580.2][         0.0         0.0][     34560.0     42444.8]
                            [     ratio->       0.92x][     ratio->            ][     ratio->       0.92x][     ratio->       0.92x][     ratio->            ][     ratio->       0.92x][     ratio->            ][     ratio->       1.23x]
              write-16384KiB[        62.4        61.0][         0.0         0.0][        62.4        61.0][   1038718.7   1016384.0][         0.0         0.0][   1038718.7   1016384.0][         0.0         0.0][    527564.8    549273.6]
