                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[       917.8       836.7][     14684.1     13386.9][         0.0         0.0][     14684.1     13386.9][       917.8       836.7][         0.0         0.0][   4142182.4   4349337.6][         0.0         0.0]
                            [     ratio->       0.91x][     ratio->       0.91x][     ratio->            ][     ratio->       0.91x][     ratio->       0.91x][     ratio->            ][     ratio->       1.05x][     ratio->            ]
               read-16384KiB[        35.2        19.3][    577548.1    316314.0][         0.0         0.0][    577548.1    316314.0][        35.2        19.3][         0.0         0.0][  88349081.6  98697216.0][         0.0         0.0]
                            [     ratio->       0.55x][     ratio->       0.55x][     ratio->            ][     ratio->       0.55x][     ratio->       0.55x][     ratio->            ][     ratio->       1.12x][     ratio->            ]
              randread-64KiB[       758.9       702.0][     48568.3     44924.1][         0.0         0.0][     48568.3     44924.1][       758.9       702.0][         0.0         0.0][   5112320.0   5237145.6][         0.0         0.0]
                            [     ratio->       0.93x][     ratio->       0.92x][     ratio->            ][     ratio->       0.92x][     ratio->       0.93x][     ratio->            ][     ratio->       1.02x][     ratio->            ]
           randread-16384KiB[        13.8        12.2][    227018.3    200626.0][         0.0         0.0][    227018.3    200626.0][        13.8        12.2][         0.0         0.0][ 126258380.8 122326220.8][         0.0         0.0]
                            [     ratio->       0.88x][     ratio->       0.88x][     ratio->            ][     ratio->       0.88x][     ratio->       0.88x][     ratio->            ][     ratio->       0.97x][     ratio->            ]
                  write-4KiB[     65848.7     92759.3][         0.0         0.0][     65848.7     92759.3][    263394.7    371037.1][         0.0         0.0][    263394.7    371037.1][         0.0         0.0][     19801.6     16044.0]
                            [     ratio->       1.41x][     ratio->            ][     ratio->       1.41x][     ratio->       1.41x][     ratio->            ][     ratio->       1.41x][     ratio->            ][     ratio->       0.81x]
               write-4096KiB[       651.7       704.2][         0.0         0.0][       651.7       704.2][   2669540.0   2884398.4][         0.0         0.0][   2669540.0   2884398.4][         0.0         0.0][   4090572.8   3288422.4]
                            [     ratio->       1.08x][     ratio->            ][     ratio->       1.08x][     ratio->       1.08x][     ratio->            ][     ratio->       1.08x][     ratio->            ][     ratio->       0.80x]
             randrw-16384KiB[         9.8         9.3][     66985.2     61554.2][         5.7         5.5][    160893.5    152010.4][         4.1         3.8][     93908.3     90456.2][ 179381862.4 177463296.0][ 195950592.0 191024332.8]
                            [     ratio->       0.95x][     ratio->       0.92x][     ratio->       0.96x][     ratio->       0.94x][     ratio->       0.93x][     ratio->       0.96x][     ratio->       0.99x][     ratio->       0.97x]
                randrw-16KiB[       726.7       706.2][      6188.2      6069.2][       339.9       326.9][     11626.6     11299.5][       386.8       379.3][      5438.4      5230.3][   7646208.0   8241152.0][      4549.2      4545.2]
                            [     ratio->       0.97x][     ratio->       0.98x][     ratio->       0.96x][     ratio->       0.97x][     ratio->       0.98x][     ratio->       0.96x][     ratio->       1.08x][     ratio->       1.00x]
              randwrite-4KiB[       992.5       999.0][         0.0         0.0][       992.5       999.0][      3970.1      3995.9][         0.0         0.0][      3970.1      3995.9][         0.0         0.0][   1601075.2   1479987.2]
                            [     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->            ][     ratio->       0.92x]
                  read-64KiB[      7969.9      6539.0][    510072.8    418498.8][         0.0         0.0][    510072.8    418498.8][      7969.9      6539.0][         0.0         0.0][    223030.4    321638.4][         0.0         0.0]
                            [     ratio->       0.82x][     ratio->       0.82x][     ratio->            ][     ratio->       0.82x][     ratio->       0.82x][     ratio->            ][     ratio->       1.44x][     ratio->            ]
              randrw-4096KiB[        27.9        29.7][     60340.5     63604.0][        13.2        14.1][    114372.7    121498.9][        14.7        15.5][     54032.2     57894.9][ 163710566.4 165038489.6][ 127687065.6 129218150.4]
                            [     ratio->       1.06x][     ratio->       1.05x][     ratio->       1.07x][     ratio->       1.06x][     ratio->       1.05x][     ratio->       1.07x][     ratio->       1.01x][     ratio->       1.01x]
                randrw-64KiB[       582.0       516.8][     20234.3     18069.1][       265.9       234.5][     37250.4     33075.2][       316.2       282.3][     17016.1     15006.1][   8615116.8   9287475.2][   1271910.4    312141.6]
                            [     ratio->       0.89x][     ratio->       0.89x][     ratio->       0.88x][     ratio->       0.89x][     ratio->       0.89x][     ratio->       0.88x][     ratio->       1.08x][     ratio->       0.25x]
           randwrite-1024KiB[        93.2        95.5][         0.0         0.0][        93.2        95.5][     95385.0     97836.5][         0.0         0.0][     95385.0     97836.5][         0.0         0.0][  57087180.8  57813196.8]
                            [     ratio->       1.02x][     ratio->            ][     ratio->       1.02x][     ratio->       1.03x][     ratio->            ][     ratio->       1.03x][     ratio->            ][     ratio->       1.01x]
               randrw-256KiB[       291.2       283.6][     41413.6     40426.7][       129.4       125.7][     74543.2     72599.2][       161.8       157.9][     33129.6     32172.5][  14496153.6  15591424.0][   5957836.8   5105868.8]
