                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[    109501.2     19996.2][   1752019.6    319939.4][         0.0         0.0][   1752019.6    319939.4][    109501.2     19996.2][         0.0         0.0][     14804.8    105600.0][         0.0         0.0]
                            [     ratio->       0.18x][     ratio->       0.18x][     ratio->            ][     ratio->       0.18x][     ratio->       0.18x][     ratio->            ][     ratio->       7.13x][     ratio->            ]
              randread-64KiB[     62782.8     10454.0][   4018102.1    669056.7][         0.0         0.0][   4018102.1    669056.7][     62782.8     10454.0][         0.0         0.0][     32963.2    223232.0][         0.0         0.0]
                            [     ratio->       0.17x][     ratio->       0.17x][     ratio->            ][     ratio->       0.17x][     ratio->       0.17x][     ratio->            ][     ratio->       6.77x][     ratio->            ]
                 write-64KiB[     16664.0     13815.0][         0.0         0.0][     16664.0     13815.0][   1066498.9    884159.1][         0.0         0.0][   1066498.9    884159.1][         0.0         0.0][     97510.4     85980.8]
                            [     ratio->       0.83x][     ratio->            ][     ratio->       0.83x][     ratio->       0.83x][     ratio->            ][     ratio->       0.83x][     ratio->            ][     ratio->       0.88x]
                 read-256KiB[     17561.2      3069.8][   4495661.8    785877.4][         0.0         0.0][   4495661.8    785877.4][     17561.2      3069.8][         0.0         0.0][    130771.2     39046.4][         0.0         0.0]
                            [     ratio->       0.17x][     ratio->       0.17x][     ratio->            ][     ratio->       0.17x][     ratio->       0.17x][     ratio->            ][     ratio->       0.30x][     ratio->            ]
                   read-4KiB[    124844.0     16169.4][    499375.9     64677.4][         0.0         0.0][    499375.9     64677.4][    124844.0     16169.4][         0.0         0.0][     11316.0    275910.4][         0.0         0.0]
                            [     ratio->       0.13x][     ratio->       0.13x][     ratio->            ][     ratio->       0.13x][     ratio->       0.13x][     ratio->            ][     ratio->      24.38x][     ratio->            ]
                  write-4KiB[     56815.7     43024.6][         0.0         0.0][     56815.7     43024.6][    227262.9    172098.2][         0.0         0.0][    227262.9    172098.2][         0.0         0.0][     56035.2     29126.4]
                            [     ratio->       0.76x][     ratio->            ][     ratio->       0.76x][     ratio->       0.76x][     ratio->            ][     ratio->       0.76x][     ratio->            ][     ratio->       0.52x]
               write-4096KiB[       266.4       256.4][         0.0         0.0][       266.4       256.4][   1091083.9   1050336.6][         0.0         0.0][   1091083.9   1050336.6][         0.0         0.0][   6499942.4   6683852.8]
                            [     ratio->       0.96x][     ratio->            ][     ratio->       0.96x][     ratio->       0.96x][     ratio->            ][     ratio->       0.96x][     ratio->            ][     ratio->       1.03x]
                read-1024KiB[      2674.6      3589.9][   2738745.5   3676025.1][         0.0         0.0][   2738745.5   3676025.1][      2674.6      3589.9][         0.0         0.0][    421708.8     68840.0][         0.0         0.0]
                            [     ratio->       1.34x][     ratio->       1.34x][     ratio->            ][     ratio->       1.34x][     ratio->       1.34x][     ratio->            ][     ratio->       0.16x][     ratio->            ]
             randwrite-16KiB[     59118.4     35190.3][         0.0         0.0][     59118.4     35190.3][    945894.6    563044.7][         0.0         0.0][    945894.6    563044.7][         0.0         0.0][     26894.4     38817.6]
                            [     ratio->       0.60x][     ratio->            ][     ratio->       0.60x][     ratio->       0.60x][     ratio->            ][     ratio->       0.60x][     ratio->            ][     ratio->       1.44x]
              randrw-1024KiB[      1413.2       856.9][    747178.4    467478.8][       683.5       400.3][   1447037.2    877411.4][       729.7       456.5][    699858.9    409932.6][    328268.8    207718.4][   1795174.4   3546521.6]
