                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[    129162.9     15380.2][   2066606.4    246083.9][         0.0         0.0][   2066606.4    246083.9][    129162.9     15380.2][         0.0         0.0][     16040.0    409753.6][         0.0         0.0]
                            [     ratio->       0.12x][     ratio->       0.12x][     ratio->            ][     ratio->       0.12x][     ratio->       0.12x][     ratio->            ][     ratio->      25.55x][     ratio->            ]
               read-16384KiB[       275.3       239.0][   4510033.5   3916214.2][         0.0         0.0][   4510033.5   3916214.2][       275.3       239.0][         0.0         0.0][   8262860.8  11404902.4][         0.0         0.0]
                            [     ratio->       0.87x][     ratio->       0.87x][     ratio->            ][     ratio->       0.87x][     ratio->       0.87x][     ratio->            ][     ratio->       1.38x][     ratio->            ]
              randread-64KiB[     70712.9     11805.2][   4525625.5    755533.8][         0.0         0.0][   4525625.5    755533.8][     70712.9     11805.2][         0.0         0.0][     35033.6     29056.0][         0.0         0.0]
                            [     ratio->       0.17x][     ratio->       0.17x][     ratio->            ][     ratio->       0.17x][     ratio->       0.17x][     ratio->            ][     ratio->       0.83x][     ratio->            ]
           randread-16384KiB[       395.6       313.1][   6480972.1   5128693.4][         0.0         0.0][   6480972.1   5128693.4][       395.6       313.1][         0.0         0.0][   4651417.6   6882508.8][         0.0         0.0]
                            [     ratio->       0.79x][     ratio->       0.79x][     ratio->            ][     ratio->       0.79x][     ratio->       0.79x][     ratio->            ][     ratio->       1.48x][     ratio->            ]
                  write-4KiB[     53419.5     44850.7][         0.0         0.0][     53419.5     44850.7][    213677.9    179402.6][         0.0         0.0][    213677.9    179402.6][         0.0         0.0][     58489.6     32059.2]
                            [     ratio->       0.84x][     ratio->            ][     ratio->       0.84x][     ratio->       0.84x][     ratio->            ][     ratio->       0.84x][     ratio->            ][     ratio->       0.55x]
               write-4096KiB[       260.7       252.4][         0.0         0.0][       260.7       252.4][   1067909.9   1033856.0][         0.0         0.0][   1067909.9   1033856.0][         0.0         0.0][   6802227.2   6745292.8]
                            [     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->            ][     ratio->       0.99x]
             randrw-16384KiB[        84.6        22.5][    680181.1    172394.2][        43.1        12.0][   1386565.7    368295.1][        41.5        10.5][    706384.7    195900.9][  16277504.0  60812492.8][  21975859.2  97316044.8]
