                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
               read-16384KiB[       139.5       104.6][   2285877.8   1713635.9][         0.0         0.0][   2285877.8   1713635.9][       139.5       104.6][         0.0         0.0][   9911500.8  13388185.6][         0.0         0.0]
                            [     ratio->       0.75x][     ratio->       0.75x][     ratio->            ][     ratio->       0.75x][     ratio->       0.75x][     ratio->            ][     ratio->       1.35x][     ratio->            ]
              randread-16KiB[     82350.7      6940.7][   1317610.9    111051.8][         0.0         0.0][   1317610.9    111051.8][     82350.7      6940.7][         0.0         0.0][     18113.6     15561.6][         0.0         0.0]
                            [     ratio->       0.08x][     ratio->       0.08x][     ratio->            ][     ratio->       0.08x][     ratio->       0.08x][     ratio->            ][     ratio->       0.86x][     ratio->            ]
              randread-64KiB[     33650.7      3862.9][   2153646.0    247226.2][         0.0         0.0][   2153646.0    247226.2][     33650.7      3862.9][         0.0         0.0][     53747.2     30344.0][         0.0         0.0]
                            [     ratio->       0.11x][     ratio->       0.11x][     ratio->            ][     ratio->       0.11x][     ratio->       0.11x][     ratio->            ][     ratio->       0.56x][     ratio->            ]
           randread-16384KiB[       132.1        75.4][   2164378.5   1235384.4][         0.0         0.0][   2164378.5   1235384.4][       132.1        75.4][         0.0         0.0][  10276864.0  19146342.4][         0.0         0.0]
                            [     ratio->       0.57x][     ratio->       0.57x][     ratio->            ][     ratio->       0.57x][     ratio->       0.57x][     ratio->            ][     ratio->       1.86x][     ratio->            ]
                  write-4KiB[     60207.7     39760.1][         0.0         0.0][     60207.7     39760.1][    240830.7    159040.3][         0.0         0.0][    240830.7    159040.3][         0.0         0.0][     51257.6     34048.0]
                            [     ratio->       0.66x][     ratio->            ][     ratio->       0.66x][     ratio->       0.66x][     ratio->            ][     ratio->       0.66x][     ratio->            ][     ratio->       0.66x]
               write-4096KiB[       270.1       255.5][         0.0         0.0][       270.1       255.5][   1106243.2   1046455.4][         0.0         0.0][   1106243.2   1046455.4][         0.0         0.0][   6461030.4   6712934.4]
                            [     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->            ][     ratio->       1.04x]
             randrw-16384KiB[        87.3        61.8][    696964.6    520127.8][        44.7        30.1][   1429820.3   1012359.8][        42.5        31.7][    732855.7    492232.1][  14572748.8  21836595.2][  21817753.6  30294016.0]
                            [     ratio->       0.71x][     ratio->       0.75x][     ratio->       0.67x][     ratio->       0.71x][     ratio->       0.75x][     ratio->       0.67x][     ratio->       1.50x][     ratio->       1.39x]
                randrw-16KiB[     59829.8      7231.0][    478924.4     57374.6][     29897.1      3645.1][    957277.7    115696.0][     29932.8      3585.9][    478353.3     58321.4][     82499.2    280057.6][      8737.2    368537.6]
                            [     ratio->       0.12x][     ratio->       0.12x][     ratio->       0.12x][     ratio->       0.12x][     ratio->       0.12x][     ratio->       0.12x][     ratio->       3.39x][     ratio->      42.18x]
              randwrite-4KiB[    127944.0     48387.0][         0.0         0.0][    127944.0     48387.0][    511776.0    193548.1][         0.0         0.0][    511776.0    193548.1][         0.0         0.0][     10726.4     26947.2]
                            [     ratio->       0.38x][     ratio->            ][     ratio->       0.38x][     ratio->       0.38x][     ratio->            ][     ratio->       0.38x][     ratio->            ][     ratio->       2.51x]
                  read-64KiB[     33598.3      3960.1][   2150291.8    253444.5][         0.0         0.0][   2150291.8    253444.5][     33598.3      3960.1][         0.0         0.0][     56060.8     30136.0][         0.0         0.0]
                            [     ratio->       0.12x][     ratio->       0.12x][     ratio->            ][     ratio->       0.12x][     ratio->       0.12x][     ratio->            ][     ratio->       0.54x][     ratio->            ]
              randrw-4096KiB[       349.1       246.9][    774220.0    567127.4][       160.1       108.5][   1430024.9   1011488.7][       189.0       138.5][    655804.9    444361.3][   3868569.6   6388121.6][   6701875.2   8505344.0]
                            [     ratio->       0.71x][     ratio->       0.73x][     ratio->       0.68x][     ratio->       0.71x][     ratio->       0.73x][     ratio->       0.68x][     ratio->       1.65x][     ratio->       1.27x]
                randrw-64KiB[     20132.7      3270.5][    641964.0    106629.6][     10102.0      1604.4][   1288490.8    209312.6][     10030.7      1666.1][    646526.7    102682.9][     97257.6    586073.6][     80553.6    931328.0]
                            [     ratio->       0.16x][     ratio->       0.17x][     ratio->       0.16x][     ratio->       0.16x][     ratio->       0.17x][     ratio->       0.16x][     ratio->       6.03x][     ratio->      11.56x]
           randwrite-1024KiB[      1067.3      1018.2][         0.0         0.0][      1067.3      1018.2][   1092871.2   1042612.6][         0.0         0.0][   1092871.2   1042612.6][         0.0         0.0][   1142272.0   1278259.2]
                            [     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->            ][     ratio->       1.12x]
              write-16384KiB[        66.8        63.1][         0.0         0.0][        66.8        63.1][   1093717.2   1034122.3][         0.0         0.0][   1093717.2   1034122.3][         0.0         0.0][  21800550.4  23705190.4]
                            [     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->            ][     ratio->       1.09x]
